Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004186,UNIFORM STORE LLC,33,43,1.3,23594,81.47
51002856,PLANVIEW INC,9,43,4.78,23637,81.62
51005054,GRASIM INDUSTRIES LTD,16,41,2.56,23678,81.76
51004129,PIEDMONT NATIONAL CORPORATION,15,41,2.73,23719,81.9
51003941,VALLEN DISTRIBUTION INC,19,41,2.16,23760,82.04
51004845,KALENBORN ABRESIST CORP,16,40,2.5,23800,82.18
51004118,NETJETS AVIATION INC,17,40,2.35,23840,82.32
51004210,MCKESSON MEDICAL SURGICAL INC,14,40,2.86,23880,82.46
51003933,IDEAL CHEMICAL & SUPPLY CO,18,40,2.22,23920,82.6
51004674,MECS INC,22,39,1.77,23959,82.73
51003893,JM TEST SYSTEMS LLC,6,39,6.5,23998,82.87
51004934,MICRONICS ENGINEERED FILTRATION GRO,16,39,2.44,24037,83.0
51004810,ZSCHIMMER & SCHWARZ INC US DIVISION,22,38,1.73,24075,83.13
51004651,HAYWARD TYLER INC,11,38,3.45,24113,83.26
51003936,MCCULLOUGH SPECIALTY PRODUCTS &,11,37,3.36,24150,83.39
51003359,OXBOW CALCINING INTERNATIONAL,31,36,1.16,24186,83.52
51004326,MELINDA REEVES,13,36,2.77,24222,83.64
51004327,OSECO INC,11,36,3.27,24258,83.76
51004018,SAFETY-KLEEN SYSTEMS INC,11,36,3.27,24294,83.89
51003930,GEORGE R DOUGLAS & ASSOCIATES LLC,10,36,3.6,24330,84.01
51004025,INDUSTRIAL SCIENTIFIC CORP,18,36,2.0,24366,84.14
51004643,ADVANCION CORPORATION,10,36,3.6,24402,84.26
51004815,INCEED LLC,23,36,1.57,24438,84.39
51001150,FTT UNIT TRUST,7,35,5.0,24473,84.51
51004192,SUMMIT HOLDING INC,9,35,3.89,24508,84.63
51004001,SUBURBAN PROPANE LP,5,34,6.8,24542,84.74
51005091,PALLET ONE OF ALABAMA LLC,13,34,2.62,24576,84.86
51004044,ROYALTY PRODUCTS INC,10,34,3.4,24610,84.98
51005113,"BEIJING SEE CONSULTING SERVICE CO.,",5,34,6.8,24644,85.1
51003974,CDW DIRECT LLC,5,33,6.6,24677,85.21
51003939,PUCKETT- MCGEE ELECTRIC SUPPLY CO,15,33,2.2,24710,85.32
51005014,DAYFORCE CANADA LTD.,11,33,3.0,24743,85.44
51004038,MONROE COUNTY COOPERATIVE,9,33,3.67,24776,85.55
51004231,8X8 INC,9,33,3.67,24809,85.67
51004901,CENTRAL ALABAMA TRAINING SOLUTIONS,8,33,4.12,24842,85.78
51003922,OPEN TEXT CORP,9,32,3.56,24874,85.89
51003898,MID SOUTH WATER LLC,15,31,2.07,24905,86.0
51004353,KPMG (NL),6,31,5.17,24936,86.1
51004015,UNI TECH ENGINEERING SALES CO INC,9,31,3.44,24967,86.21
51004474,SAFENAMES LTD,11,30,2.73,24997,86.32
51004559,AMAZON WEB SERVICES INC,12,30,2.5,25027,86.42
51004099,THOR SPECIALTIES INC,13,30,2.31,25057,86.52
51004106,FLSMIDTH SALT LAKE CITY INC,10,30,3.0,25087,86.63
51004024,SHICK SOLUTIONS INC,5,30,6.0,25117,86.73
51004487,SOUTHERN HEAT EXCHANGER CORP,15,29,1.93,25146,86.83
51004744,ALLIED SEALS INTERNATIONAL INC,10,29,2.9,25175,86.93
51004485,SPHERA SOLUTIONS INC,12,29,2.42,25204,87.03
51004003,POWELL FABRICATION & MFG INC,8,28,3.5,25232,87.13
51004376,JACKSON MECHANICAL SERVICE INC.,14,28,2.0,25260,87.22
51006046,IWL SOLUTIONS LLC,6,28,4.67,25288,87.32
51004826,SCIRISQ,1,28,28.0,25316,87.42
51004480,SPX FLOW INC,9,28,3.11,25344,87.51
51004712,"DATABANK IMX, LLC",3,28,9.33,25372,87.61
51004774,"PED SERVICES, LLC",14,28,2.0,25400,87.71
51004765,MISSISSIPPI PEANUT SUPPLY & EQUIPME,10,27,2.7,25427,87.8
51004006,LEHIGH OUTFITTERS LLC,18,27,1.5,25454,87.89
51004624,"SEALING SPECIALISTS, INC.",11,27,2.45,25481,87.99
51004902,"IRONCLAD ENVIRONMENTAL SOLUTIONS, I",5,27,5.4,25508,88.08
51004785,DYURI SOLUTIONS LLC,16,27,1.69,25535,88.17
51004027,LUCKETT PUMP & WELL SERVICE INC,11,26,2.36,25561,88.26
51004074,CINTAS CORPORATION,10,26,2.6,25587,88.35
51004010,TENNESSEE REAGENTS INC,9,26,2.89,25613,88.44
51004992,FACTSET RESEARCH SYSTEMS INC,11,26,2.36,25639,88.53
51004568,TERACO DATA ENVIRONMENT PTY LTD,9,26,2.89,25665,88.62
51004486,DELL MARKETING LP,3,25,8.33,25690,88.71
51004121,PBM/CMSI OF CONNECTICUT LLC,14,25,1.79,25715,88.79
51004536,VOIGT-ABERNATHY SALES CORP,6,25,4.17,25740,88.88
51004794,MATERIAL-MASTERS LIMITED,9,25,2.78,25765,88.97
51004786,INNOVAPPTIVE INC,9,25,2.78,25790,89.05
51004887,MP&A INC,11,24,2.18,25814,89.14
51004795,JORGE DIAZ,15,24,1.6,25838,89.22
51005030,PRO-SAPIEN SOFTWARE LTD,7,24,3.43,25862,89.3
51003948,TRANE US INC,14,24,1.71,25886,89.39
51004312,DEGROFF PROCESS EQUIPMENT CO,10,23,2.3,25909,89.46
51004514,PRATER INDUSTRIES INC,6,23,3.83,25932,89.54
51004633,"HARGROVE AND ASSOCIATES, INC",9,23,2.56,25955,89.62
51004151,MEDPRO WASTE DISPOSAL LLC,14,23,1.64,25978,89.7
51004108,EXPERITEC INC,8,23,2.88,26001,89.78
51004202,ONESTREAM SOFTWARE LLC,10,23,2.3,26024,89.86
51003909,TTL INC,8,23,2.88,26047,89.94
51005005,REMITCO LLC,5,22,4.4,26069,90.02
51004503,BETE FOG NOZZLE INC,6,22,3.67,26091,90.09
51004220,HURRICANE ELECTRIC LLC,8,22,2.75,26113,90.17
51004088,QUICKBLADES INC,9,22,2.44,26135,90.25
51003968,KNOELL USA LLC,5,22,4.4,26157,90.32
51004159,AMETEK BROOKFIELD,4,22,5.5,26179,90.4
51004165,WHITTINGTON OFFICE FURNITURE LLC,3,22,7.33,26201,90.47
51004555,BAKER GULF COAST INDUSTRIAL,5,22,4.4,26223,90.55
51004376,JACKSON MECHANICAL SERVICE INC,13,22,1.69,26245,90.62
51004292,P AND S CLINIC OB-GYN PLLC,8,22,2.75,26267,90.7
51004719,GTT AMERICAS LLC,7,21,3.0,26288,90.77
51004647,INTREPID INDUSTRIES INC,6,21,3.5,26309,90.85
51004319,THOMSON REUTERS TAX & ACCOUNTING,5,21,4.2,26330,90.92
51004725,HOWDEN USA COMPANY,4,21,5.25,26351,90.99
51004266,COLUMBIA PSI LLC,6,21,3.5,26372,91.06
51004835,"DESCARTES U.S. HOLDINQS, INC.",11,21,1.91,26393,91.14
51004314,COOK COMPRESSION,9,21,2.33,26414,91.21
51004862,ALLIANCE MAINTENANCE INC.,9,21,2.33,26435,91.28
51004007,PROCESS & POWER INC,9,21,2.33,26456,91.35
51005098,PERKINELMER U.S. LLC,5,20,4.0,26476,91.42
51004746,ADVANCED ELECTRONIC SERVICE INC,3,20,6.67,26496,91.49
51004866,INDUSCO LLC,4,20,5.0,26516,91.56
51005102,HUBHEAD CORP.,7,20,2.86,26536,91.63
51004094,THE EDWARD ORTON JR CERAMIC FOUND,5,20,4.0,26556,91.7
51005200,SHERMCO INDUSTRIES INC (1009482),6,20,3.33,26576,91.77
51004861,TRUNDL LABS,6,20,3.33,26596,91.84
51004072,TYCO FIRE & SECURITY (US) MGMT INC,2,20,10.0,26616,91.91
51004422,ANV INC,8,19,2.38,26635,91.97
51004608,INSIGHT DIRECT USA INC,6,19,3.17,26654,92.04
51004356,MALVERN PANALYTICAL INC,6,19,3.17,26673,92.1
51004724,ANTON PAAR USA INC,2,19,9.5,26692,92.17
51004069,SETPOINT INTEGRATED SOLUTIONS INC,9,19,2.11,26711,92.23
51003940,TENN-PLAST INC,11,19,1.73,26730,92.3
51004526,NETFORTRIS ACQUISITION CO INC,6,18,3.0,26748,92.36
51004134,PACE ANALYTICAL ENERGY SERVICES LLC,3,18,6.0,26766,92.42
51004652,OMNIE SOLUTIONS (I) PVT LTD,4,18,4.5,26784,92.49
51004190,HUGG AND HALL EQUIPMENT COMPANY,6,18,3.0,26802,92.55
51003874,ASHLEY G CULLUM III,7,18,2.57,26820,92.61
51004494,CMG PROCESS INC,2,17,8.5,26837,92.67
51005093,LEVEL 3 COMMUNICATIONS LLC,5,17,3.4,26854,92.73
51004111,COLUMBUS FENCE CO LLC,6,17,2.83,26871,92.79
51004362,LOFTWARE INC,5,17,3.4,26888,92.85
51003900,P&M AUTOMATIC FIRE PROTECTION INC,12,17,1.42,26905,92.9
51003975,PRECISION HOSE AND INDUSTRIAL SUPPL,16,17,1.06,26922,92.96
51004626,WEIDENHAMMER SYSTEMS CORPORATION,7,17,2.43,26939,93.02
51004136,APPLIED SOFTWARE TECHNOLOGY INC,1,17,17.0,26956,93.08
51005033,"JOHN ELDER CONSULTING, LLC",8,16,2.0,26972,93.14
51003913,QUALITY PROCESS COMPONENTS INC.,9,16,1.78,26988,93.19
51003989,JOHNSON EQUIPMENT CO,6,16,2.67,27004,93.25
51004549,"SAM CARBIS SOLUTIONS, LLC",5,16,3.2,27020,93.3
51005031,ION GROUP,3,16,5.33,27036,93.36
51004799,"SPX FLOW US, LLC",5,16,3.2,27052,93.41
51004784,ARCHLYNK LLC,9,16,1.78,27068,93.47
51004631,EVERLASTING VALVE CO INC,4,16,4.0,27084,93.52
51004627,PLANT MAINTENANCE SERVICE CORP,4,16,4.0,27100,93.58
51004091,RITEWAY SHREDDING,9,15,1.67,27115,93.63
51003960,EQUINIX INC,8,15,1.88,27130,93.68
51005009,KPMG LLP,7,15,2.14,27145,93.73
