Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004042,INDUSTRIAL WELDING & TOOL SUPPLY,20,21,1.05,10985,82.2
51003922,OPEN TEXT CORP,9,20,2.22,11005,82.35
51003930,GEORGE R DOUGLAS & ASSOCIATES LLC,8,20,2.5,11025,82.5
51004118,NETJETS AVIATION INC,15,20,1.33,11045,82.65
51003928,ALLMOND PRINTING CO INC,11,20,1.82,11065,82.8
51004528,ENDRESS & HAUSER INC,11,20,1.82,11085,82.95
51005014,DAYFORCE CANADA LTD.,9,20,2.22,11105,83.1
51004536,VOIGT-ABERNATHY SALES CORP,5,20,4.0,11125,83.25
51003952,PICKETT INDUSTRIES LLC,13,20,1.54,11145,83.4
51004069,SETPOINT INTEGRATED SOLUTIONS INC,9,19,2.11,11164,83.54
51003616,POWER AND RUBBER SUPPLY INC,9,19,2.11,11183,83.69
51004129,PIEDMONT NATIONAL CORPORATION,7,19,2.71,11202,83.83
51003878,BARNHART PLANT SERVICES LLC,11,18,1.64,11220,83.96
51005163,FLOWMASTER INC.,12,18,1.5,11238,84.1
51004001,SUBURBAN PROPANE LP,4,18,4.5,11256,84.23
51003941,VALLEN DISTRIBUTION INC,14,18,1.29,11274,84.37
51004936,JAMES A. COKER JR,9,18,2.0,11292,84.5
51004769,IC CONSULT US CORP,9,18,2.0,11310,84.64
51004664,DAIOHS USA INC,17,17,1.0,11327,84.76
51004555,BAKER GULF COAST INDUSTRIAL,5,17,3.4,11344,84.89
51003934,LANXESS CORP,14,16,1.14,11360,85.01
51004494,CMG PROCESS INC,2,16,8.0,11376,85.13
51004794,MATERIAL-MASTERS LIMITED,6,16,2.67,11392,85.25
51004624,"SEALING SPECIALISTS, INC.",8,16,2.0,11408,85.37
51004193,ISN SOFTWARE CORPORATION,3,15,5.0,11423,85.48
51004568,TERACO DATA ENVIRONMENT PTY LTD,9,15,1.67,11438,85.59
51004327,OSECO INC,9,15,1.67,11453,85.71
51006076,"AKONA PROCESS SOLUTIONS, INC.",3,15,5.0,11468,85.82
51004003,POWELL FABRICATION & MFG INC,7,15,2.14,11483,85.93
51004786,INNOVAPPTIVE INC,8,15,1.88,11498,86.04
51004485,SPHERA SOLUTIONS INC,7,14,2.0,11512,86.15
51004312,DEGROFF PROCESS EQUIPMENT CO,8,14,1.75,11526,86.25
51004559,AMAZON WEB SERVICES INC,11,14,1.27,11540,86.36
51002859,"TRI-STATE VALVE, LLC",9,14,1.56,11554,86.46
51004187,YKRS VENTURES LLC,10,14,1.4,11568,86.57
51003893,JM TEST SYSTEMS LLC,3,14,4.67,11582,86.67
51003933,IDEAL CHEMICAL & SUPPLY CO,14,14,1.0,11596,86.78
51004044,ROYALTY PRODUCTS INC,10,14,1.4,11610,86.88
51004929,MI LLC,13,14,1.08,11624,86.99
51004810,ZSCHIMMER & SCHWARZ INC US DIVISION,13,14,1.08,11638,87.09
51005046,SWIFT PAN AMERICAS INC,9,14,1.56,11652,87.2
51003909,TTL INC,3,13,4.33,11665,87.29
51004074,CINTAS CORPORATION,9,13,1.44,11678,87.39
51003935,LAVENDER INC,7,13,1.86,11691,87.49
51004527,NALCO COMPANY,12,13,1.08,11704,87.59
51005031,ION GROUP,3,13,4.33,11717,87.68
51004725,HOWDEN USA COMPANY,3,13,4.33,11730,87.78
51004319,THOMSON REUTERS TAX & ACCOUNTING,5,13,2.6,11743,87.88
51004210,MCKESSON MEDICAL SURGICAL INC,10,13,1.3,11756,87.97
51004190,HUGG AND HALL EQUIPMENT COMPANY,6,12,2.0,11768,88.06
51002856,PLANVIEW INC,5,12,2.4,11780,88.15
51004208,GEA SYSTEMS NORTH AMERICA LLC,2,12,6.0,11792,88.24
51003948,TRANE US INC,9,12,1.33,11804,88.33
51003975,PRECISION HOSE AND INDUSTRIAL SUPPL,12,12,1.0,11816,88.42
51004202,ONESTREAM SOFTWARE LLC,7,12,1.71,11828,88.51
51003983,BRUKER AXS LLC,2,12,6.0,11840,88.6
51004887,MP&A INC,11,12,1.09,11852,88.69
51004479,BBP SALES LLC,9,12,1.33,11864,88.78
51004099,THOR SPECIALTIES INC,11,12,1.09,11876,88.87
51004018,SAFETY-KLEEN SYSTEMS INC,7,11,1.57,11887,88.95
51004474,SAFENAMES LTD,10,11,1.1,11898,89.04
51003898,MID SOUTH WATER LLC,3,11,3.67,11909,89.12
51004862,ALLIANCE MAINTENANCE INC.,9,11,1.22,11920,89.2
51004480,SPX FLOW INC,7,11,1.57,11931,89.28
51004871,AWC INC,7,11,1.57,11942,89.37
51004708,AVEVA SOFTWARE LLC,2,11,5.5,11953,89.45
51003904,SECURITAS SECURITY SERVICES USA,9,11,1.22,11964,89.53
51004134,PACE ANALYTICAL ENERGY SERVICES LLC,3,11,3.67,11975,89.61
51004368,CITY OF AMORY MISSISSIPPI,9,11,1.22,11986,89.7
51005009,KPMG LLP,5,11,2.2,11997,89.78
51004318,COOPER MARINE & TIMBERLANDS CORP,3,11,3.67,12008,89.86
51004397,ENVIRO-LABS INC,3,10,3.33,12018,89.93
